configured,dist_a,dist_b,n_entities,n_metrics,n_periods,seed,observed,error
-0.7,beta,lognorm,100,2,24,7000,-0.6090683822143904,0.09093161778560954
-0.7,beta,lognorm,100,2,24,7001,-0.623264833133736,0.07673516686626392
-0.7,beta,lognorm,100,2,24,7002,-0.6234237112034148,0.07657628879658518
-0.7,beta,lognorm,100,2,24,7003,-0.6086823494971036,0.09131765050289631
-0.7,beta,lognorm,100,2,24,7004,-0.6311055445003572,0.06889445549964279
-0.3,beta,lognorm,100,2,24,7000,-0.2752293908702007,0.02477060912979928
-0.3,beta,lognorm,100,2,24,7001,-0.27359197545710284,0.026408024542897146
-0.3,beta,lognorm,100,2,24,7002,-0.27595205874094414,0.02404794125905585
-0.3,beta,lognorm,100,2,24,7003,-0.27971843613340597,0.02028156386659402
-0.3,beta,lognorm,100,2,24,7004,-0.27901801607069066,0.020981983929309334
0.0,beta,lognorm,100,2,24,7000,-0.011251113930595642,0.011251113930595642
0.0,beta,lognorm,100,2,24,7001,-0.00042374941566445914,0.00042374941566445914
0.0,beta,lognorm,100,2,24,7002,0.001272481635262251,0.001272481635262251
0.0,beta,lognorm,100,2,24,7003,-0.02827246009888226,0.02827246009888226
0.0,beta,lognorm,100,2,24,7004,-0.0019839521661802716,0.0019839521661802716
0.3,beta,lognorm,100,2,24,7000,0.26728317041675587,0.03271682958324412
0.3,beta,lognorm,100,2,24,7001,0.27995237880286655,0.020047621197133436
0.3,beta,lognorm,100,2,24,7002,0.28767346130190286,0.012326538698097134
0.3,beta,lognorm,100,2,24,7003,0.2474984377751538,0.0525015622248462
0.3,beta,lognorm,100,2,24,7004,0.28061774967434905,0.01938225032565094
0.7,beta,lognorm,100,2,24,7000,0.6565994921896943,0.04340050781030569
0.7,beta,lognorm,100,2,24,7001,0.6675834110486271,0.03241658895137289
0.7,beta,lognorm,100,2,24,7002,0.6736789571457747,0.026321042854225207
0.7,beta,lognorm,100,2,24,7003,0.6650552352226702,0.03494476477732977
0.7,beta,lognorm,100,2,24,7004,0.6732605300293223,0.026739469970677665
-0.7,beta,beta,100,2,24,7000,-0.6720663705326614,0.027933629467338572
-0.7,beta,beta,100,2,24,7001,-0.6697959570665386,0.03020404293346135
-0.7,beta,beta,100,2,24,7002,-0.6747789783014245,0.02522102169857543
-0.7,beta,beta,100,2,24,7003,-0.6651624035246717,0.03483759647532825
-0.7,beta,beta,100,2,24,7004,-0.6720615984880461,0.027938401511953814
-0.3,beta,beta,100,2,24,7000,-0.3083489625936779,0.0083489625936779
-0.3,beta,beta,100,2,24,7001,-0.3127859882017142,0.012785988201714227
-0.3,beta,beta,100,2,24,7002,-0.2980795600802924,0.0019204399197075839
-0.3,beta,beta,100,2,24,7003,-0.28741405336040393,0.012585946639596057
-0.3,beta,beta,100,2,24,7004,-0.2898114630157031,0.010188536984296892
0.0,beta,beta,100,2,24,7000,-0.029415369110776794,0.029415369110776794
0.0,beta,beta,100,2,24,7001,-0.03910706288662022,0.03910706288662022
0.0,beta,beta,100,2,24,7002,0.00013680616998668944,0.00013680616998668944
