template,seed,entity_id,entity_idx,period_idx,fact_table,metric,distribution,trajectory_position,predicted_center,envelope_sigma,observed,deviation,deviation_in_sigma
saas,1000,c-001,0,0,fct_engagement,engagement,beta,0.0,0.0,0.1673624930551426,0.21138994716289491,0.21138994716289491,1.2630664332494506
saas,1000,c-003,2,1,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-003,2,23,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.018892797276946875,-0.13110720272305312,-0.8199574240830391
saas,1000,c-002,1,1,fct_engagement,engagement,beta,0.014668969973657702,0.014668969973657702,0.15972082528065298,0.36602078873159827,0.3513518187579406,2.1997871482354525
saas,1000,c-002,1,2,fct_engagement,engagement,beta,0.03311106455804438,0.03311106455804438,0.1597277212575296,0.1409760845213174,0.10786501996327302,0.6753055707178208
saas,1000,c-001,0,2,fct_engagement,engagement,beta,0.1693694525681882,0.1693694525681882,0.15994348723937082,0.30234080500987565,0.13297135244168745,0.8313645946876412
saas,1000,c-001,0,20,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.2124251785522575,0.012425178552257499,0.07764189358271406
saas,1000,c-003,2,11,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.12139955362498259,-0.028600446375017408,-0.17887002277687108
saas,1000,c-002,1,21,fct_engagement,engagement,beta,0.9668889354419555,0.9668889354419555,0.16687537150620177,0.9347668227433088,-0.03212211269864673,-0.19249163258014346
saas,1000,c-001,0,9,fct_engagement,engagement,beta,0.9894123333202318,0.9894123333202318,0.1672051015817045,1.0,0.010587666679768182,0.06332143325539942
saas,1000,c-003,2,22,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-002,1,14,fct_engagement,engagement,beta,0.6740048450937879,0.6740048450937879,0.1632357510156933,0.45083857968154406,-0.22316626541224382,-1.367140862364084
saas,1000,c-002,1,13,fct_engagement,engagement,beta,0.606719153044591,0.606719153044591,0.16257451955429708,0.48433834893485606,-0.12238080410973495,-0.752767435175239
saas,1000,c-002,1,3,fct_engagement,engagement,beta,0.05609435321189419,0.05609435321189419,0.15974376520787378,0.10344152505901151,0.04734717184711732,0.2963944901730886
saas,1000,c-001,0,18,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.12724144645262517,-0.07275855354737484,-0.4546503575782505
saas,1000,c-002,1,2,fct_engagement,engagement,beta,0.03311106455804438,0.03311106455804438,0.1597277212575296,0.1409760845213174,0.10786501996327302,0.6753055707178208
saas,1000,c-002,1,8,fct_engagement,engagement,beta,0.26399164696839517,0.26399164696839517,0.16026363609941394,0.24710840051774294,-0.01688324645065223,-0.10534670784693352
saas,1000,c-002,1,20,fct_engagement,engagement,beta,0.9439056467881055,0.9439056467881055,0.16654608598441706,0.8374052451157963,-0.10650040167230923,-0.639465052827924
saas,1000,c-003,2,8,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.23350452443130612,0.08350452443130613,0.5222455618750959
saas,1000,c-003,2,2,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-001,0,20,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.2124251785522575,0.012425178552257499,0.07764189358271406
saas,1000,c-001,0,21,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.08719762016655873,-0.11280237983344128,-0.704874407564444
saas,1000,c-003,2,7,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.14693792717336074,-0.003062072826639256,-0.019150506571248168
saas,1000,c-003,2,2,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-001,0,11,fct_engagement,engagement,beta,0.9987571505593219,0.9987571505593219,0.16734393833095987,0.7650144392654381,-0.2337427112938838,-1.3967802695763356
saas,1000,c-003,2,5,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.07432251601124742,-0.07567748398875257,-0.4732944761515538
saas,1000,c-002,1,11,fct_engagement,engagement,beta,0.46402518324407804,0.46402518324407804,0.16139548478301494,0.4450069562273172,-0.01901822701676087,-0.11783617764976238
saas,1000,c-002,1,8,fct_engagement,engagement,beta,0.26399164696839517,0.26399164696839517,0.16026363609941394,0.24710840051774294,-0.01688324645065223,-0.10534670784693352
saas,1000,c-001,0,0,fct_engagement,engagement,beta,0.0,0.0,0.1673624930551426,0.21138994716289491,0.21138994716289491,1.2630664332494506
saas,1000,c-003,2,13,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0364590097938194,-0.1135409902061806,-0.7100965921296974
saas,1000,c-003,2,4,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-003,2,3,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.7289065865534239,0.5789065865534239,3.620539098052052
saas,1000,c-003,2,4,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-003,2,19,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-003,2,15,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.22877250599526178,0.07877250599526178,0.49265105015533567
saas,1000,c-002,1,10,fct_engagement,engagement,beta,0.3932808469554087,0.3932808469554087,0.16092507151804397,0.5190328455340353,0.12575199857862657,0.7814319881444106
saas,1000,c-002,1,1,fct_engagement,engagement,beta,0.014668969973657702,0.014668969973657702,0.15972082528065298,0.36602078873159827,0.3513518187579406,2.1997871482354525
saas,1000,c-001,0,23,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.14511981177783412,-0.05488018822216589,-0.34293283720824697
saas,1000,c-001,0,20,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.2124251785522575,0.012425178552257499,0.07764189358271406
saas,1000,c-001,0,20,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.2124251785522575,0.012425178552257499,0.07764189358271406
saas,1000,c-001,0,8,fct_engagement,engagement,beta,0.9747669358329719,0.9747669358329719,0.16698991146058992,1.0,0.025233064167028085,0.15110532095217716
saas,1000,c-001,0,21,fct_engagement,engagement,beta,0.2,0.2,0.1600318845781448,0.08719762016655873,-0.11280237983344128,-0.704874407564444
saas,1000,c-001,0,7,fct_engagement,engagement,beta,0.9425866040592635,0.9425866040592635,0.16652740869602395,0.969747790685511,0.027161186626247447,0.16310340044879323
saas,1000,c-003,2,19,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.0,-0.15,-0.9381148484440159
saas,1000,c-003,2,18,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.25539399019317494,0.10539399019317494,0.6591444475798695
saas,1000,c-001,0,7,fct_engagement,engagement,beta,0.9425866040592635,0.9425866040592635,0.16652740869602395,0.969747790685511,0.027161186626247447,0.16310340044879323
saas,1000,c-003,2,16,fct_engagement,engagement,beta,0.15,0.15,0.15989513464027807,0.011299124453222011,-0.13870087554677799,-0.8674490056174531
